A,EB,MS,S,FM,LF,HS,DP,LP,OHV,HV,SLF,LONI,GDPPCA,LNI,LFDLE,TE,EIR,TA,LANI,API,APE,LNICTI,LCEC,LC,Stability,ALRBL,BLNR,BS,PL,B,NLP,LLR,SR,G,APS,UNPROFOR,UNPROFOR relations,PCNIRH,PCAO,RGDPGR ,CPI,SDR,EC,Class
1,0,1,1,0.75,0.5,0.833,0.75,0.5,0.518,0.518,0.5,0.242,0.125,0.292,0.342,0.671,0.55,0.311,0,0,1,1,0.764,1,1,1,1,0,1,1,0.25,0.75,0.5,1,0.28,0,0,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
1,0.4,1,1,1,0.5,0.667,0.5,0.75,0,0.052,0.5,0.695,0.372,0.689,0.737,0.605,0.748,0.301,0.569,0.581,0.512,0,0.726,0.25,0.75,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.422,0.313,0.163,0.883,1,0.59,Farmers-good
0.842,0.6,1,1,0.75,0.5,0.833,0.75,0.5,0.13,0.13,0.75,0.342,0.396,0.329,0.842,0.905,0.866,0.298,0.16,0.072,0.975,0.333,1,1,1,1,1,0,1,1,0,0.5,0.5,1,0.129,0,0,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
1,0.4,1,1,1,1,0.917,0.75,1,0.233,0.233,0.25,0.181,0.267,0.187,0.895,0.935,0.841,0.166,0.085,0.039,0.986,0.365,0.966,1,0.5,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.226,0.37,0.361,0.794,0.127,0.268,Farmers-good
1,0.6,1,1,1,0.5,0.667,0.5,1,0.104,0.104,0.75,0.231,0.481,0.269,0.473,0.736,0.6,0.481,0,0,1,1,0.403,1,1,1,1,0,1,1,0,0.5,0.5,1,0.23,0,0,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
0.474,0.2,1,1,1,1,0.833,0.5,0.5,0.518,0.518,0.5,0.255,0.123,0.319,0.21,0.591,0.502,0.338,0.111,0.048,0.985,0.506,1,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
1,0.6,1,1,0.75,0.5,0.833,0.75,1,0.518,0.518,0.75,0.231,0.502,0.269,0.473,0.736,0.6,0.448,0,0,1,1,0.84,1,0.5,1,1,0,1,1,0,0.5,0.75,1,0.12,0,0,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
0.842,0.4,1,1,1,0.5,0.667,0.5,1,0.078,0.078,0.25,0.022,0.038,0.064,0.789,0.875,0.314,0.069,0.053,0.045,0.966,0,1,1,0.75,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
1,0.9,1,0.8,0.75,0.5,0.833,0.75,0.5,0.104,0.104,0.5,0.181,0.195,0.22,0.561,0.769,0.576,0.198,0,0,1,1,0.943,1,1,1,1,0,1,1,0,0.5,0.5,1,0.12,0,0,0.222,0.581,0.689,0.751,0.22,0.228,Farmers-good
1,0,1,1,1,0.75,0.889,0.75,0.5,0.389,0.389,0.75,0.18,0.22,0.293,0.605,0.407,0.297,0.289,0.242,0.204,0.846,0,0,1,1,1,1,0,1,1,0,0.5,0.75,0,0,1,1,0.398,0.63,0.308,1,0.193,0.355,Farmers-good
0.737,0.4,1,1,0.75,0.75,1,1,1,0.104,0.104,0.25,0.104,0.122,0.126,0.824,0.912,0.7,0.129,0.104,0.034,1,0,1,1,0.5,1,1,0,1,1,0,0.5,0.25,1,0.22,0,0,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
0.684,0.4,1,1,1,0.5,0.667,0.5,1,0.078,0.078,0.5,0.434,0.221,0.414,0.737,0.868,0.854,0.423,0.342,0.404,0.64,0,1,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,0.5,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
0.895,0.6,1,0.8,0.75,0.5,0.833,0.75,0.25,0.259,0.259,0.75,0.297,0.435,0.323,0.763,0.749,0.671,0.246,0.146,0.072,0.97,0.351,0.886,1,1,1,1,0.009,1,1,0,0.5,0.5,1,0.102,0,0,0.16,0.526,0.443,0.986,0.295,0.079,Farmers-good
1,0.2,1,1,1,0.5,0.667,0.5,1,0.052,0.052,0.25,0.002,0.024,0.037,0.868,0.921,0.277,0.037,0.014,0.005,1,0.52,0.931,1,1,1,1,0.017,1,1,0,0.5,0.25,1,0.16,0,0,0.16,0.526,0.443,0.986,0.295,0.079,Farmers-good
0.842,0.6,1,0.8,0.75,0.5,0.833,0.75,0.75,0.389,0.389,0.25,0.162,0.172,0.227,0.737,0.66,0.436,0.447,0.002,0.001,1,0.986,0.966,1,0.5,1,1,0.167,1,1,0,0.5,0.5,1,0.12,0,0,0.158,0.042,0.574,0.569,0.183,0.92,Farmers-good
1,0.2,1,0.8,0.75,0.75,1,1,1,0.13,0.13,0.25,0.061,0.1,0.093,0.789,0.895,0.548,0.072,0.076,0.049,0.971,0,1,1,0.75,1,1,0,1,1,0,0.5,0.25,1,0.12,0,0,0.16,0.526,0.443,0.986,0.295,0.079,Farmers-good
0.895,0.6,1,1,0.5,0.5,1,1,1,0.052,0.052,0.25,1,1,1,0.781,0,0.593,0.492,0.648,0.311,0.875,0.337,0.429,1,1,1,1,0,1,1,0,0.5,0.5,1,0.16,0,0,0.089,0.641,0.46,0.399,0.081,0.628,Farmers-good
0.526,0,1,1,0.75,0.75,1,1,0.75,0.052,0.052,0.25,0.183,0.258,0.231,0.842,0.725,0.531,0.527,0.135,0.09,0.943,0.167,1,1,1,1,1,0.25,1,1,0,0.5,0.25,1,0.142,0,0,0.16,0.526,0.443,0.986,0.295,0.079,Farmers-good
1,0.6,1,1,1,1,0.75,0.25,0.5,0.13,0.13,0.25,0.09,0.11,0.181,0.519,0.584,0.231,0.14,0.104,0.061,0.966,0.19,0.886,1,1,1,1,0,1,1,0,0.5,0.5,1,0.2,0,0,0.199,0.55,0.68,0.601,0.338,0.832,Farmers-good
0.895,0.4,1,1,1,0.75,0.778,0.5,1,0.039,0.039,0.5,1,0.456,0.898,0.781,0.877,0.935,0.382,0.74,0.479,0.706,0,1,1,1,1,1,0,1,1,0,0.5,0.25,1,0.4,0,0,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
1,0.6,1,1,0.75,0.5,0.833,0.75,0.5,0.881,0.881,0.75,0.361,0.185,0.404,0.473,0.618,0.611,0.513,0,0,1,1,0.486,1,0.75,0.862,0,0,1,1,0.25,0.75,0.5,1,0.184,0,0,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
1,0.6,1,1,0.5,0.5,1,1,0.25,0.311,0.311,0.25,0.065,0.067,0.092,0.868,0.915,0.619,0.15,0.03,0.012,0.997,0.556,1,1,0.5,1,1,0,1,1,0,0.5,0.5,1,0.24,0,0,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
0.526,0,1,0.8,0.5,0.5,1,1,1,0.104,0.104,0.5,0.356,1,0.343,0.781,0.89,0.853,0.486,0.283,0.092,1,0,1,1,0.5,1,1,0,1,1,0,0.5,0.25,0,0,1,0.5,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
1,0.4,1,0.8,0.75,0.5,0.833,0.75,0.5,0.259,0.259,0.5,0.695,0.605,0.727,0.605,0.419,0.663,0.388,0,0,1,1,0.84,1,0.75,1,1,0,1,1,0,0.5,0.25,1,0.2,0,0,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
1,0.4,1,1,1,0.5,0.5,0.25,1,0.181,0.181,0.25,0.201,0.11,0.233,0.579,0.788,0.624,0.155,0.148,0.077,0.965,0.158,0.521,1,1,1,1,0,1,1,0,0.5,0.25,1,0.1,0,0,0.422,0.313,0.163,0.883,1,0.59,Farmers-good
0.263,0.2,1,1,0.5,0.5,1,1,1,0.052,0.052,0.25,0.037,0.07,0.068,0.868,0.915,0.516,0.029,0.018,0.006,0.999,0.673,1,1,1,1,1,0,1,1,0,0.5,0.25,1,0.112,0,0,0.16,0.526,0.443,0.986,0.295,0.079,Farmers-good
0.526,0.4,1,1,1,1,0.917,0.75,0.75,0.052,0.052,0.5,0.291,0.31,0.289,0.89,0.886,0.821,0.134,0.238,0.132,0.932,0,1,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,0.8,0.199,0.55,0.68,0.601,0.338,0.832,Farmers-good
0.474,0.2,1,1,0.75,0.75,1,1,1,0.13,0.13,0.5,0.327,0.28,0.33,0.789,0.835,0.778,0.13,0.272,0.135,0.943,0,1,1,1,1,1,0,1,1,0,0.5,0.25,1,0.16,0,0,0.16,0.526,0.443,0.986,0.295,0.079,Farmers-good
1,0.9,1,1,0.75,0.5,0.833,0.75,1,0.389,0.389,0.75,0.791,0.4,0.725,0.789,0.826,0.888,0.483,0.536,0.299,0.845,0.063,0.863,1,0.75,1,1,0,1,1,0,0.5,0.75,1,0.078,0,0,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
1,0.4,1,1,1,0.5,0.667,0.5,1,0.078,0.078,0.5,0.359,0.221,0.377,0.737,0.739,0.702,0.015,0.2,0.091,0.968,0.284,0.954,1,1,1,1,0,1,1,0.25,0.75,0.25,0,0,1,0.8,0.335,0.71,0.484,0.943,0.472,0.934,Farmers-good
1,0.4,1,1,1,0.5,0.667,0.5,0.75,0.259,0.259,0.5,0.507,0.474,0.471,0.781,0.89,0.891,0.311,0.389,0.216,0.89,0,0.403,1,1,1,1,0,1,1,0,0.5,0.25,1,0.144,0,0,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
0.789,0.6,1,1,1,0.5,0.667,0.5,1,0.181,0.181,0.25,0.162,0.378,0.195,0.693,0.813,0.608,0.234,0.161,0.076,0.971,0,1,1,0.5,1,1,0,1,1,0,0.5,0.5,1,0.264,0,0,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
0.789,0,1,1,0.75,0.5,0.833,0.75,0.5,0.518,0.518,0.25,0.149,0.095,0.175,1,0.855,0.653,0.272,0,0,1,1,1,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,0.5,0.335,0.71,0.484,0.943,0.472,0.934,Farmers-good
1,0.4,1,1,1,0.5,0.667,0.5,1,0.156,0.156,0.25,0.154,0.154,0.157,0.934,0.967,0.901,0.121,0,0,1,1,0.764,1,0.75,1,1,0,1,1,0,0.5,0.25,0,0,1,0.8,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
1,0.4,1,1,1,0.5,0.667,0.5,1,0.052,0.052,0.5,0.228,0.144,0.316,0.671,0.495,0.409,0.141,0.261,0.329,0.7,0,0.764,1,0.25,0.735,0,0,1,1,0.25,0.75,0.25,0,0,1,0.5,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
1,0.6,1,1,1,1,0.917,0.75,1,1,1,0.75,0.183,0.138,0.332,0,0.231,0.229,0.654,0.176,0.188,0.839,0.144,0.429,1,1,1,1,0,1,1,0.25,0.75,0.75,1,0.283,0,0,0.422,0.313,0.163,0.883,1,0.59,Farmers-good
1,0.6,1,1,0.75,0.5,0.833,0.75,0.5,0.13,0.13,0.5,0.762,0.662,0.808,0.737,0.301,0.639,0.361,0,0,1,1,0.84,1,1,1,1,0,1,1,0,0.5,0.5,0,0,1,0.5,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
1,0.4,1,1,1,0.5,0.5,0.25,1,0.078,0.078,0.5,0.676,0.435,0.615,0.842,0.888,0.914,0.304,0.448,0.255,0.865,0.071,0.84,1,1,1,1,0,1,1,0,0.5,0.25,1,0,0,0,0.327,0.675,0.647,1,0.375,0.491,Farmers-good
1,0.4,1,1,1,0.5,0.667,0.5,1,0.104,0.104,0.25,0.135,0.277,0.163,0.824,0.858,0.636,0.115,0.116,0.042,0.994,0.124,0.971,1,1,0.94,0,0,1,1,0.25,0.75,0.25,0,0,1,0.5,0.111,0.552,0.534,0.453,0.124,0.208,Farmers-good
1,0.6,1,1,1,0.5,0.667,0.5,0.25,0.259,0.259,0.25,0.112,0.081,0.15,0.737,0.824,0.538,0.477,0,0,1,1,0.909,1,1,1,1,0.25,1,1,0,0.5,0.5,0,0,1,1,0.398,0.63,0.308,1,0.193,0.355,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,1,0.13,0.13,0.5,0.297,0.141,0.329,0.473,0.717,0.641,0.19,0.272,0.124,0.956,0,0.966,1,1,0.894,0,0,1,1,0.25,0.75,0.25,1,0.113,0,0,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
1,0.4,1,1,1,1,0.917,0.75,0.5,0.13,0.13,0.5,0.824,0.686,0.763,0.561,0.78,0.867,0.373,0.592,0.196,0.995,0.058,0.84,1,1,1,1,0,1,1,0,0.5,0.25,1,0.5,0,0,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
0.895,0.6,1,1,0.75,0.5,0.833,0.75,0.75,0.311,0.311,0.25,0.121,0.06,0.207,0.21,0.582,0.3,0.173,0.115,0.138,0.876,0.115,0.886,1,1,1,1,0,1,1,0,0.5,0.5,0,0,1,0.8,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
1,0.2,1,1,1,0.75,0.667,0.25,0.75,0.518,0.518,0.75,0.222,0.537,0.272,0.737,0.686,0.542,0.543,0.224,0.438,0.551,0,0.429,1,0.5,1,1,0,1,1,0,0.5,0.5,1,0.22,0,0,0.398,0.63,0.308,1,0.193,0.355,Farmers-good
1,0.4,1,1,1,1,1,1,0.5,0.389,0.389,0.5,0.254,0.123,0.281,0.605,0.776,0.663,0.261,0.231,0.15,0.908,0,1,1,0.75,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
1,0.6,1,0.8,0.5,0.25,0.667,0.75,1,0.156,0.156,0.25,0.023,0.051,0.061,0.781,0.89,0.358,0.067,0.051,0.047,0.963,0,0.84,1,1,1,1,0,1,1,0,0.5,0.5,0,0,1,0.5,0.16,0.526,0.443,0.986,0.295,0.079,Farmers-good
0.737,0,1,1,1,0.75,0.889,0.75,1,0.207,0.207,0.5,0.401,0.271,0.471,0.473,0.451,0.538,0.245,0.389,0.693,0.303,0,0.315,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,0.5,0.398,0.63,0.308,1,0.193,0.355,Farmers-good
0.789,0.4,1,1,0.75,0.5,0.833,0.75,1,0.259,0.259,0.5,0.331,0.1,0.346,0.605,0.773,0.716,0.207,0.286,0.11,0.978,0,0.914,1,0.5,0.875,0,0,0,1,0.25,0.75,0.25,0,0,1,0.5,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,1,0.207,0.207,0.5,0.188,0.131,0.247,0.473,0.664,0.478,0.157,0.204,0.168,0.874,0,1,1,1,1,1,0,1,1,0,0.5,0.25,1,0.128,0,0,0.398,0.63,0.308,1,0.193,0.355,Farmers-good
1,0.4,1,1,1,0.5,0.167,0,1,0.57,0.57,0.75,0.339,0.289,0.382,0.473,0.631,0.604,0.409,0.315,0.375,0.664,0,0.829,1,0.5,0.933,0,0,1,1,0.25,0.75,0.5,1,0.24,0,0,0.398,0.63,0.308,1,0.193,0.355,Farmers-good
1,0.4,1,1,1,0.5,0.667,0.5,1,0.259,0.259,0.5,0.52,0.692,0.546,0.21,0.581,0.674,1,0.45,0.233,0.893,0,0.931,1,1,0.725,0,0,1,1,0.25,0.75,0.75,1,0.176,0,0,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
1,0,1,1,0.75,0.5,0.833,0.75,0.75,0.13,0.13,0.5,0.33,0.21,0.357,0.473,0.717,0.665,0.327,0.295,0.162,0.918,0,0.966,1,1,0.835,0,0,1,1,0.25,0.75,0.25,0,0,1,1,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
0.842,0.2,1,1,1,0.5,0.667,0.5,1,0.104,0.104,0.5,0.315,0.916,0.309,0.781,0.89,0.838,0.445,0.255,0.082,1,0,0.403,1,0.5,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,1,0.389,0.389,0.5,0.346,0.235,0.384,0.737,0.651,0.624,0.299,0.317,0.24,0.831,0,0.315,1,0.5,0.831,0,0,1,1,0.25,0.75,0.25,0,0,1,1,0.398,0.63,0.308,1,0.193,0.355,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,0.75,0,0.441,0.5,0.289,0.139,0.332,0.451,0.671,0.596,0.314,0.172,0.232,0.784,0.124,0.714,0,0.5,0.872,0,0,0,1,0.25,0.75,0.25,1,0.16,0,0,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
1,0.2,1,1,0.75,0.5,0.833,0.75,0.75,0.259,0.259,0.75,0.24,0.278,0.319,0.605,0.53,0.444,0.682,0.111,0.09,0.934,0.353,0,1,1,1,1,0,1,1,0,0.5,1,1,0.24,0,0,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
0.316,1,1,1,0.75,0.5,0.833,0.75,0.25,0.13,0.13,0.75,0.544,0.558,0.513,0.684,0.842,0.858,0.271,0,0,1,1,1,1,1,1,1,0,1,1,0,0.5,0.75,1,0.16,0,0,0.222,0.581,0.689,0.751,0.22,0.228,Farmers-good
1,0.6,1,1,1,0.5,0.667,0.5,1,0.363,0.363,0.75,0.451,0.243,0.481,0.605,0.611,0.66,0.336,0.37,0.168,0.941,0.049,0.201,1,1,1,1,0,1,1,0,0.5,0.75,1,0.324,0,0,0.422,0.313,0.163,0.883,1,0.59,Farmers-good
0.842,0.4,1,1,0.75,0.5,0.833,0.75,1,0.259,0.259,0.5,0.97,0.867,1,0.21,0.077,0.619,0.515,0,0,1,1,0.84,1,1,1,1,0,1,1,0,0.5,0.25,1,0.333,0,0,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
0.895,0.4,1,1,1,0.5,0.5,0.25,0.75,0.13,0.13,0.25,0.095,0.241,0.123,0.781,0.89,0.628,0.141,0.101,0.079,0.943,0,0.84,1,1,1,1,0,1,1,0,0.5,0.25,1,0.083,0,0,0.199,0.55,0.68,0.601,0.338,0.832,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,0.25,0.259,0.259,0.5,0.461,0.379,0.451,0.789,0.8,0.801,0.279,0.012,0.006,0.998,0.951,0.68,1,0.75,1,1,0,1,1,0,0.5,0.25,0,0,1,0.5,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
0.263,0.2,1,1,0.5,0.5,1,1,1,0.104,0.104,0.5,0.366,0.231,0.364,0.671,0.835,0.797,0.135,0.3,0.137,0.95,0,1,1,0.5,1,1,0,1,1,0,0.5,0.25,0,0,1,0.8,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
1,0.6,1,1,0.75,0.5,0.833,0.75,0.5,0.726,0.726,0.75,0.193,0.134,0.242,0.526,0.71,0.529,0.378,0.089,0.038,0.989,0.485,0.863,1,0.25,1,1,0,1,1,0,0.5,0.5,1,0.216,0,0,0.398,0.63,0.308,1,0.193,0.355,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,1,0.389,0.389,0.25,0.157,0.1,0.182,0.737,0.855,0.664,0.221,0.05,0.304,0.647,0.096,1,1,0.25,1,1,0,1,1,0,0.5,0.25,1,0.2,0,0,0.335,0.71,0.484,0.943,0.472,0.934,Farmers-good
0.526,0.4,1,1,0.75,0.75,1,1,1,0.052,0.052,0.25,0.14,0.14,0.16,0.781,0.89,0.706,0.074,0.132,0.066,0.971,0,1,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
1,0.4,1,1,1,0.5,0.667,0.5,1,0.156,0.156,0.5,0.413,0.224,0.572,0.21,0.009,0.373,0.448,0.444,0.269,0.845,0.032,0.84,1,1,0.701,0,0,1,1,0.25,0.75,0.5,1,0.28,0,0,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,0.75,0.104,0.104,0.5,0.247,0.197,0.251,0.824,0.89,0.803,0.119,0.207,0.067,1,0,0.886,1,0.5,1,1,0,1,1,0,0.5,0.25,1,1,0,0,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
1,0.2,1,1,0.5,0.5,1,1,1,0.259,0.259,0.5,0.24,0.206,0.246,0.781,0.89,0.799,0.189,0.203,0.114,0.94,0,1,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,0.5,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,0.75,0.311,0.311,0.75,1,0.907,1,0.473,0.499,0.777,0.556,0,0,1,1,0.315,1,0.75,1,1,0,1,1,0,0.5,0.75,0,0,1,0.5,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
1,0.6,1,1,1,0.75,0.889,0.75,1,0.026,0.026,0.5,0.044,0.12,0.116,0.664,0.709,0.186,0.057,0.08,0.157,0.838,0.031,0.772,1,1,1,1,0,1,1,0,0.5,0.5,1,0.072,0,0,0.199,0.55,0.68,0.601,0.338,0.832,Farmers-good
0.789,0.2,1,1,1,0.5,0.5,0.25,0.5,0.13,0.13,0.75,0.297,0.378,0.539,0.737,0,0.34,0.546,0,0,1,1,0.273,1,1,1,1,0,1,1,0,0.5,0.75,0,0,1,0.5,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
0.737,0.4,0,1,0.25,0.25,1,1,0.5,0,0.156,1,1,0.684,1,0.342,0.62,0.827,0.722,0,0,1,1,0.966,0.25,1,0.709,0,0.002,1,1,0.25,0.75,0.25,1,0.168,0,0,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
1,1,1,1,0.75,0.5,0.833,0.75,0.25,0.026,0.026,0.75,0.608,0.621,0.584,0.579,0.756,0.811,0.254,0,0,1,1,0.829,1,1,1,1,0,1,1,0,0.5,0.75,1,0.16,0,0,0.222,0.581,0.689,0.751,0.22,0.228,Farmers-good
0.947,0.4,1,1,1,0.5,0.667,0.5,0.75,0.22,0.22,0.5,0.184,0.289,0.202,0.895,0.868,0.717,0.161,0.167,0.074,0.975,0,0.657,1,1,0.947,0,0,1,1,0.25,0.75,0.5,0,0,1,1,0.11,0.348,0.742,0.316,0.008,0.813,Farmers-good
0.895,0.4,1,1,0.75,0.5,0.833,0.75,1,0.778,0.778,0.5,1,0.634,1,0.342,0.45,0.757,0.786,0.121,0.851,0.003,0.215,0.429,1,0.5,0.868,0,0,1,1,0,0.5,0.25,0,0,1,1,0.335,0.71,0.484,0.943,0.472,0.934,Farmers-good
0.842,0.2,1,1,0.75,0.5,0.833,0.75,1,0.104,0.104,0.25,0.218,0.65,0.227,0.781,0.89,0.784,0.325,0.187,0.06,1,0,0.701,1,0.5,1,1,0,1,1,0,0.5,0.25,0,0,1,0.5,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
0.842,1,1,1,0.75,0.5,0.833,0.75,0.25,0.207,0.207,0.75,0.603,0.616,0.579,0.526,0.763,0.815,0.329,0,0,1,1,1,1,1,1,1,0,1,1,0,0.5,1,1,0.18,0,0,0.222,0.581,0.689,0.751,0.22,0.228,Farmers-good
1,0.4,1,1,1,1,1,1,1,0.233,0.233,0.25,0.117,0.062,0.153,0.671,0.835,0.566,0.121,0.044,0.018,0.996,0.595,1,1,0.25,1,1,0,1,1,0,0.5,0.25,1,0.09,0,0,0.253,0.702,0.61,0.978,0.138,0.903,Farmers-good
0.842,0.6,1,1,1,0.5,0.667,0.5,0.5,0.311,0.311,0.75,0.341,0.174,0.404,0.21,0.532,0.541,0.264,0,0,1,1,0.829,1,0.5,1,1,0,1,1,0,0.5,0.5,0,0,1,1,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
1,0.6,1,1,0.75,0.5,0.833,0.75,0.5,0.544,0.544,0.75,0.471,0.279,0.449,0.842,0.851,0.848,0.449,0.37,0.21,0.89,0,0.794,1,0.25,1,1,0,1,1,0,0.5,0.5,1,0.2,0,0,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
1,0.4,1,1,1,0.5,0.667,0.5,0.5,0.181,0.181,0.25,0.076,0.042,0.099,0.868,0.929,0.691,0.1,0.015,0.008,0.996,0.735,1,1,0.5,1,1,0,1,1,0,0.5,0.25,0,0,1,0.5,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
1,1,1,1,0.75,0.5,0.833,0.75,0.25,0.311,0.311,0.75,0.652,0.243,0.619,0.605,0.769,0.83,0.218,0,0,1,1,0.829,1,0.75,1,1,0,1,1,0,0.5,1,0,0,1,0.5,0.222,0.581,0.689,0.751,0.22,0.228,Farmers-good
0.947,0.4,1,1,1,1,0.833,0.5,0.5,0.156,0.156,0.25,0.141,0.09,0.153,0.89,0.934,0.805,0.136,0.017,0.009,0.995,0.789,0.701,1,0.75,1,1,0,1,1,0,0.5,0.25,0,0,1,0.5,0.335,0.71,0.484,0.943,0.472,0.934,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,1,0.104,0.104,0.25,0.068,0.261,0.086,0.912,0.956,0.774,0.148,0.071,0.031,0.99,0,1,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
0.947,0.9,1,1,1,0.75,0.667,0.25,0.75,0,0.518,0.75,0.213,0.108,0.251,0.868,0.752,0.596,0.295,0.162,0.188,0.834,0.071,0.178,0,1,1,1,0,1,1,0,0.5,1,1,0.096,0,0,0.422,0.313,0.163,0.883,1,0.59,Farmers-good
1,0.9,1,1,0.75,0.5,0.833,0.75,0.5,0.518,0.518,0.75,0.23,0.209,0.247,0.789,0.842,0.722,0.38,0,0,1,1,0.863,1,0.75,1,1,0,1,1,0,0.5,0.5,0,0,1,1,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
1,0,1,1,0.75,0.5,0.833,0.75,0.75,0.259,0.259,0.5,0.994,0.861,0.97,0.737,0.472,0.76,0.512,0,0,1,1,1,1,0.5,1,1,0,1,1,0,0.5,0.25,0,0,1,0.5,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
0.368,0,1,1,1,1,0.933,0.75,0.5,0.065,0.065,0.5,0.324,0.166,0.566,0.737,0,0.363,0.153,0,0,1,1,1,1,1,1,1,0,1,1,0,0.5,0.25,1,0.333,0,0,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
0.632,0.4,1,1,1,1,1,1,0.75,0.156,0.156,0.5,0.417,0.199,0.426,0.561,0.736,0.731,0.236,0.352,0.18,0.919,0,0.989,1,1,1,1,0.005,1,1,0,0.5,0.25,0,0,1,0.8,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
0.684,0.4,1,1,0.75,0.5,0.833,0.75,0.5,0.078,0.078,0.5,0.269,0.242,0.323,0.868,0.631,0.546,0.136,0,0,1,1,1,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
1,0.4,1,1,1,0.5,0.5,0.25,0.5,0.518,0.518,0.5,0.355,0.895,0.354,0.671,0.835,0.792,1,0.292,0.737,0.211,0,0.84,1,0.5,0.894,0,0,1,1,0.25,0.75,0.25,0,0,1,0.5,0.335,0.71,0.484,0.943,0.472,0.934,Farmers-good
0.895,0.4,1,1,1,1,1,1,1,0.181,0.181,0.25,0.187,0.183,0.2,0.781,0.89,0.758,0.146,0.165,0.071,0.978,0,1,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
