A,EB,MS,S,FM,LF,HS,DP,LP,OHV,HV,SLF,LONI,GDPPCA,LNI,LFDLE,TE,EIR,TA,LANI,API,APE,LNICTI,LCEC,LC,Stability,ALRBL,BLNR,BS,PL,B,NLP,LLR,SR,G,APS,UNPROFOR,UNPROFOR relations,PCNIRH,PCAO,RGDPGR ,CPI,SDR,EC,Class
1,0.4,1,1,1,0.5,0.5,0.25,1,0.104,0.104,0.25,0.203,0.194,0.225,0.671,0.835,0.688,0.121,0.186,0.091,0.962,0,0.84,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,0.8,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
1,0.4,1,1,1,0.5,0.667,0.5,1,0.13,0.13,0.25,0.187,0.198,0.214,0.649,0.824,0.655,0.134,0.176,0.098,0.95,0,0.413,1,1,1,1,0,1,1,0,0.5,0.5,0,0,1,1,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
0.789,0.4,1,1,0.75,0.5,0.833,0.75,0.25,0.311,0.311,0.25,0.166,0.062,0.182,0.868,0.895,0.746,0.171,0,0,1,1,1,1,0.75,1,1,0,1,1,0,0.5,0.25,1,0.2,0,0,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
1,0.6,0.2,0.8,1,0.75,0.889,0.75,0.25,0.363,0.363,0.25,0.209,0.101,0.229,0.737,0.841,0.701,0.225,0,0,1,1,0.886,1,1,0.991,0,0,1,1,0,0.5,0.5,0,0,1,1,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
0.842,0.4,1,0.8,1,0.75,0.889,0.75,1,0.073,0.073,0.5,0.101,0.066,0.13,0.842,0.88,0.619,0.064,0.025,0.01,0.997,0.718,0.273,1,1,1,1,0,1,1,0,0.5,0.75,1,0.128,0,0,0.335,0.71,0.484,0.943,0.472,0.934,Farmers-good
1,0.4,1,1,1,0.5,0.667,0.5,1,0.026,0.026,0.25,0.089,0.136,0.116,0.846,0.899,0.636,0.04,0.083,0.066,0.952,0.056,0.943,1,0.5,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.16,0.526,0.443,0.986,0.295,0.079,Farmers-good
0.684,0.6,1,1,1,0.75,0.778,0.5,1,0.207,0.207,0.75,0.19,0.21,0.248,0.342,0.671,0.487,0.177,0.204,0.114,0.941,0,0,1,1,1,1,0,1,1,0,0.5,0.75,0,0,1,1,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,0.25,0.156,0.156,0.25,0.189,0.098,0.224,0.561,0.78,0.6,0.136,0,0,1,1,0.764,1,1,1,1,0,1,1,0,0.5,0.25,1,0.333,0,0,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
1,0.9,1,1,1,0.5,0.5,0.25,0.5,0.156,0.156,0.5,0.06,0.025,0.104,0.781,0.835,0.413,0.076,0.052,0.053,0.955,0.169,0.852,1,1,1,1,0,1,1,0,0.5,0.5,0,0,1,1,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
0.947,0.4,1,1,1,1,0.917,0.75,1,0.021,0.021,0.75,0.766,0.53,0.862,0.342,0.057,0.561,0.556,0.711,0.778,0.326,0,0.273,1,1,1,1,0,0,1,0,0.5,0.75,1,0.3,0,0,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
